Macrotrends Data Download

Rwanda Youth Unemployment Rate 1991-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, % of Total Labor Force Ages 15-24, Annual Change, 
1991-12-31,16.415
1992-12-31,16.261,-0.15
1993-12-31,16.397,0.14
1994-12-31,16.564,0.17
1995-12-31,16.334,-0.23
1996-12-31,15.834,-0.5
1997-12-31,15.33,-0.5
1998-12-31,15.405,0.07
1999-12-31,15.667,0.26
2000-12-31,15.754,0.09
2001-12-31,15.817,0.06
2002-12-31,15.555,-0.26
2003-12-31,15.813,0.26
2004-12-31,15.896,0.08
2005-12-31,16.093,0.2
2006-12-31,15.903,-0.19
2007-12-31,15.964,0.06
2008-12-31,15.967,0
2009-12-31,16.138,0.17
2010-12-31,16.208,0.07
2011-12-31,16.374,0.17
2012-12-31,16.335,-0.04
2013-12-31,16.476,0.14
2014-12-31,16.581,0.11
2015-12-31,16.604,0.02
2016-12-31,16.586,-0.02
2017-12-31,16.686,0.1
2018-12-31,16.207,-0.48
2019-12-31,16.006,-0.2
2020-12-31,15.915,-0.09
2021-12-31,23.272,7.36
2022-12-31,22.178,-1.09
2023-12-31,21.967,-0.21
